team_name,tickets
Red and Black Benches,26
X-Camp We Wendys,26
Fallen Star,25
CaliCompeters,25
------- PRIZE CUTOFF -------,25
¯_(ツ)_/¯,25
temp,25
Bhagwan Bharose,25
Team Name #<number>,25
Scalm,24
ඞ🍉😎😎 🤣💪 🤣 🤣🥰🥰💪🥰🥰ඞ,24
johnny is very hot,24
Join CerealCodes,23
x-camp air canada,24
FormulaOne,23
Team Amur,23
onebitorz,23
Biggest Ask Fan,23
Pog Frogs,23
MightyTrotskeys,23
e building dumpster fire,22
Chicago,22
Segment Team,22
O(ඞ),22
Fan club of Tamila and Yenlik,21
Torrey Pines Team,21
hardstuck gold fr,21
Benched Lolz,21
Infinite Regress,21
GGG,21
Nanjing Foreign Language School 第二队,21
Princeton CPT Aleph,21
JavaBandits,21
DanielChang,20
Monkey Monks,20
AC47,20
NPForces,21
WLG,20
Perfect Clear,21
The Three Muskets,20
sad,20
Springlight2,20
WE ❤️ UNDEFINED BEHAVIOR,21
Populus-1,19
Balwenitas,20
X-Camp Team 9,20
ok,19
Ctrl-Alt-Defeat,20
404: Error Prone,20
Baby Yoda Math Team,20
the big,19
Team Randoms,20
Ridgeway the Catcher,19
Be Kind,19
X-Camp Team 7,19
Mogussy,19
hog ridaaaaa,19
training4usaco,19
The Planetarium 🪐,19
Out of Memory,19
Etinogard,19
Stuyvesant Elementary Schoolers,19
zshi,19
X-Camp Team 8,19
Pythoners on Java,19
Princeton CPT Alpha,19
a byte of math,19
SpringLight1,19
Democratic Republic of Congo,19
0xDF,19
AlephZero01,18
Thicc Red Duck,18
X-Camp Team 2,18
1984 Brawl Star Fanboys,18
I love genshin impact and skittles1418 uwu,18
The Binary Buccaneers,18
Grass Touching Association of Scarsdale,18
X-camp Team 16,18
X-Camp Team 14,18
LYDIALYDIALYDIA,18
Hamongus,18
Master,18
Undefined,18
Maple Trees,18
SMH,18
rehehehe,18
X-Camp Team 1,18
The NullPointerExceptions,18
JJW,18
Princeton CPT Epsilon,18
BMT orange,18
Runtime Terrors 2.0,18
GNC 3,18
No Clue,18
Operation Null,18
Ghost Code,18
faze honorable,18
Lebron James,18
LHS AT++,18
YISS Team A1,18
The gRizzly Bears,18
We Forgot How To Code,17
X-Camp Team 18,18
Hygiene Wizards,17
Phi Kappa Rho,17
ebeth,17
Stempia Gang,17
X-Camp Team 10,17
That time i got reincarnated into a world...,17
X-Camp Team 6,17
The Phoenixes,17
67% Asian,17
PSN,17
Sicko Code,17
X-Camp Team 5,17
Guardians,17
X-Camp Team 3,17
GOATS,16
dog cookies,16
Coding C,16
jo(nathan)^2,16
Technodoggo,16
GOATs,16
CodingB,16
POGGER,16
Bsians,17
X-Camp Team 4,17
Phigros Phanatics <3,17
X-Camp Team 15,16
David Yin,16
